Date;Ap;Hoyre;Frp;SV;Sp;KrF;Venstre;MDG;Rodt;Andre
2017-06-22;35.8;14.7;9.5;3.3;23.7;2.4;2.8;3.4;2.4;0
2017-03-31;40.3;14.1;8.4;2.7;25.6;2.1;2;2.7;1;1
2017-01-27;44.1;16;11.2;3.3;15.6;2.7;2.5;1.9;1.2;1.2
2016-11-04;47.2;14.9;10.6;3.2;14.1;3.1;2;2;1.7;0.3
2016-05-26;41.3;18.1;12.4;3.5;13.7;2.9;2.7;1.9;1.6;1.9
2014-11-24;48.3;17.6;9.6;3.1;11.1;2.5;3.1;2.2;0;2.4
2014-05-23;43.1;19;9.9;2.9;13.5;2.9;3.9;3.8;0;1
2013-06-09;40.8;14.8;20;3.2;9.4;3.8;4.6;3;0;0.6
2013-08-23;38.1;20.4;16;2.7;11.8;3.3;2;2.8;0;3.1
2013-07-06;40.9;20.4;16;3.4;12.1;3.1;1.9;0;0;2.2
2013-08-03;40.2;22.1;12.7;3.7;10.7;4;2.6;0;1;2.9
2012-10-04;37.2;22.8;16.3;3.5;10.8;2.4;2.5;0;1.2;2.2
2012-01-06;36.7;24.2;15.9;3.3;9.8;4.1;3.1;0;0.5;1.5
2012-10-02;42.7;18.2;15;4.5;10.6;3.1;3.2;0;0.5;1.5
2011-11-02;35.9;17.1;20.7;4.3;11.9;3.5;3.9;0;0.7;2
2010-06-18;39.3;16.8;18.8;5.8;10.8;2.8;3.1;0;0.7;2
2010-12-02;43.3;14.5;17.9;5.1;11.9;2.3;2.5;0;0.7;2.1
